,0,1,class
0,1.0345238791038507,0.98448968016528,0
1,1.5468620021030364,0.9124487130776466,0
2,0.940726047437165,0.3251214794443609,0
3,0.8981249691484026,0.17928633265379568,0
4,2.2369165923950467,3.21090882640743,1
5,1.5525735485209684,1.210813837749532,0
6,2.6615842521082267,3.3300528573384875,1
7,3.060842834684476,3.909072971466296,1
8,2.8831360593461124,2.4623782982025917,1
9,0.48494579651031755,1.6677242304471964,0
10,0.21669824175092822,1.0339666049740113,0
11,3.244616394147768,2.4147091196113317,1
12,0.5525268536156696,1.6237515296844527,0
13,2.7036982659288187,3.7974382424024418,1
14,1.367089278126456,1.8312530521921495,0
15,2.8820868896886727,2.5991204689090557,1
16,0.3528406821705018,1.1103410467763073,0
17,1.11469000333655,0.4434233546003139,0
18,3.5053238605324317,2.876695538240016,1
19,2.778013974749567,2.4330654476439,1
20,-0.18985916423612204,1.7988718265756787,0
21,0.837278126573894,0.8725342009213768,0
22,3.660105782161713,3.2352071801707774,1
23,1.436052634188563,0.3419023051849269,0
24,2.344844077637864,2.715064225078562,1
25,3.0301919232976244,2.2829092311522885,1
26,2.6569523174544956,2.020442776221503,1
27,3.3118090930594497,3.3989997732167367,1
28,2.292480244685089,2.8703787982064313,1
29,2.383018385319162,1.1557119095453983,0
30,1.2198328247107353,1.8772414766889551,0
31,0.4177367215641079,1.1996842183079848,0
32,3.2738460908858498,3.015751657476983,1
33,1.751241835184784,3.3708187578260524,1
34,2.9580917081790146,3.385243836250135,1
35,2.289286864076784,2.5901728531238692,1
36,3.235037249418317,3.418229652808891,1
37,1.0237897947348438,0.6679676416092567,0
38,3.268537974869929,3.4734635054591227,1
39,2.734678390648929,0.7111399480920113,0
40,-0.9657779436446008,0.770364220152308,0
41,2.0535654043618754,2.218457665078576,0
42,2.5283458152519653,3.0562337224849445,1
43,0.9290183702984576,0.15953268445318525,0
44,3.216771673566649,2.796019928731691,1
45,2.6516373175198966,3.670015032403293,1
46,4.157777777600711,4.4491580079039466,1
47,4.147856261010807,3.028992112089489,1
48,0.20956437668378713,-0.0335942758566512,0
49,0.4060513245055014,2.5343101743680787,0
50,1.3462156070160252,-0.4858482407490903,0
51,3.263532364404611,3.17929699873981,1
52,0.02379556876547939,1.6235255975158442,0
53,2.039738328947725,2.760515341185557,1
54,2.9597453577437496,2.8484948516355235,1
55,1.128747734239888,1.7180772864689642,0
56,1.788804785125813,2.5966530840035853,1
57,4.02965456790901,2.370842120174037,1
58,2.459508057869603,3.367799906204263,1
59,0.3608836168748035,0.5672494375981249,0
60,2.4772013389888965,1.1732875147664934,0
61,-0.2789022090778648,1.2491362388241694,0
62,3.4599134785968753,2.4709403381806876,1
63,0.6619332926554149,2.325672034119775,0
64,3.057413227010856,3.09104995946169,1
65,3.0895712513880653,2.581399109806091,1
66,-0.18461926733119172,1.2508647826678518,0
67,0.3260970407475392,1.160418030617046,0
68,3.318530786498132,3.9093007376107103,1
69,0.2220876874028439,1.4926770643176743,0
70,0.9716985011363973,0.6351620369303478,0
71,1.5933814109361328,0.6437922485233063,0
72,3.6963170419889053,2.7074427292572554,1
73,2.81665650588082,2.6784798529514866,1
74,3.8464550044601475,2.9195952667633955,1
75,2.9957572193512445,3.177468058279985,1
76,3.4652073554824274,2.3266542889445083,1
77,1.061139556119555,0.7661167055110069,0
78,1.3512075906905479,0.5411984327224535,0
79,0.5103664052890106,0.5719845280275662,0
80,3.567610615840976,3.5572923925035616,1
81,3.587776205445036,2.9856068862618756,1
82,2.413459969813245,2.696308491574504,1
83,0.5424986526248208,0.4438990133111339,0
84,0.8251129950273481,1.1390510101500584,0
85,3.7669025433640564,2.793120109155235,1
86,3.3059273543735337,2.052000147201988,0
87,0.48994378012355155,2.1784108327045315,0
88,2.861333104348521,2.752853573567181,1
89,3.1112677732354492,3.25055559060078,1
90,1.761148790108039,0.7085354115953315,0
91,0.5340070057032409,1.9748310199227634,0
92,1.9308053780604402,0.8848383810607153,0
93,2.575100166450249,1.1139881617904919,0
94,3.013054250561408,3.4078133626088922,1
95,3.0055691934983337,3.485738258161573,1
96,2.7778889336306136,2.2875546942364178,1
97,1.2676907187196038,0.59751992859852,0
98,2.959650315094633,2.4510314741487695,1
99,2.967264668060085,2.6456366526890926,1
100,3.44246258868146,2.460923130429639,1
101,1.1768036699651017,1.1905471082430539,0
102,-0.08283446633617397,1.0069290410824214,0
103,3.570742943505067,3.27959525962907,1
104,1.6058919578175728,0.5896043897692599,0
105,2.3750968655065616,1.9965483413469853,1
106,2.8549296728035247,2.8538365873780394,1
107,0.8696470308880666,2.4148181250416814,0
108,0.9047096264670832,2.356090953104139,0
109,1.3588977179527757,1.9128185322209728,0
110,3.6554927768594885,1.8238588411455396,1
111,3.1857508461321813,2.9593298348728334,1
112,3.164151137915752,3.142285937543342,1
113,2.6860733822316245,3.796964001038137,1
114,2.100584323919507,0.8950961170998734,0
115,2.9047678918817175,2.817405260497806,1
116,3.4102810790855345,3.3458617208780153,1
117,-0.5185726601801011,-0.12690675964509834,0
118,2.8804410317393794,3.5896325739437174,1
119,3.665572931436222,2.163428374058799,1
120,2.47220646861446,1.0955793597697399,0
121,1.0336781757800713,1.8303420957214087,0
122,1.178802581839535,1.0180717604926903,0
123,1.8985851916381336,1.0169515237989517,0
124,1.9626341034585966,-0.05338786571087062,0
125,1.4311062699751491,0.22540269332496843,0
126,3.4695442292883762,3.1845137319696923,1
127,2.551082638219474,2.8775692769659154,1
128,1.2965596190859294,1.1648484287440584,0
129,1.6727511567335138,0.7164849732469949,0
130,3.437126785473485,2.9211372768012476,1
131,3.009587577842995,3.729369571406077,1
132,3.119266852816997,3.577219070295172,1
133,1.6966258854534888,1.8666262587014115,0
134,1.3546899706428641,-0.12707081998695413,0
135,3.4538807069434894,3.4665721606051663,1
136,0.7789277899862834,-0.008553156643723803,0
137,3.8764103664056857,3.3524111709089532,1
